temperature,tile_conc,blocker_conc,blocker_mult,growth_rate,nucleation_rate,nucleation_rate_05,nucleation_rate_95
30.0,1e-08,0.0,0.0,0.04130747339589274,1.9947787148677927e-09,1.931504610987263e-09,2.0550678580508907e-09
30.0,1.0985411419875584e-08,0.0,0.0,0.04564318865270555,2.464258338888374e-09,2.3933017351438872e-09,2.531185458860602e-09
30.0,1.206792640639329e-08,0.0,0.0,0.050816962844025704,3.0074542444222687e-09,2.9267455166193843e-09,3.083037909298147e-09
30.0,1.325711365590109e-08,0.0,0.0,0.05650819334517374,3.6605680718555743e-09,3.565916067713671e-09,3.745105494467907e-09
30.0,1.4563484775012439e-08,0.0,0.0,0.06175994291163623,4.596065282454449e-09,4.486443564228919e-09,4.697689295560675e-09
30.0,1.5998587196060583e-08,0.0,0.0,0.06838331890566672,5.499614857331633e-09,5.373793788687223e-09,5.615569088958964e-09
30.0,1.7575106248547923e-08,0.0,0.0,0.074787747037085,6.766221433104704e-09,6.624793060763377e-09,6.902080799233298e-09
30.0,1.9306977288832496e-08,0.0,0.0,0.08390880575184982,8.231441529923773e-09,8.059469101078791e-09,8.388522663683007e-09
30.0,2.1209508879201907e-08,0.0,0.0,0.09447611344844088,9.98180763784367e-09,9.77326631522077e-09,1.0162169439105861e-08
30.0,2.329951810515372e-08,0.0,0.0,0.10287171296724495,1.218113581314079e-08,1.196266714233211e-08,1.2388945990112972e-08
30.0,2.559547922699536e-08,0.0,0.0,0.11423706389110165,1.4624125163413085e-08,1.4361767539030443e-08,1.4843882082357319e-08
30.0,2.811768697974231e-08,0.0,0.0,0.12586232592641022,1.817267094602694e-08,1.7918853250923782e-08,1.8391106450798184e-08
30.0,3.0888435964774816e-08,0.0,0.0,0.13884766282566166,2.1578219757444936e-08,2.121281263044054e-08,2.1902713544034666e-08
30.0,3.393221771895328e-08,0.0,0.0,0.15156518113527917,2.633817799027311e-08,2.5944264200250588e-08,2.6707781642010614e-08
30.0,3.7275937203149396e-08,0.0,0.0,0.16856861667529727,3.1576213668446125e-08,3.11037072071115e-08,3.2019038488932414e-08
30.0,4.094915062380423e-08,0.0,0.0,0.18604061791478727,3.843412742310989e-08,3.789731796539131e-08,3.893461663041363e-08
30.0,4.4984326689694446e-08,0.0,0.0,0.19941616539494136,4.6651571068742566e-08,4.6092685247339024e-08,4.716520486620942e-08
30.0,4.941713361323834e-08,0.0,0.0,0.22228430228553245,5.6900605972421786e-08,5.627572351763264e-08,5.7413166631021354e-08
30.0,5.42867543932386e-08,0.0,0.0,0.24615713511422996,6.87992833643079e-08,6.797554954458705e-08,6.948837698648482e-08
30.0,5.963623316594644e-08,0.0,0.0,0.27321292737130703,8.319252178299717e-08,8.24437890869502e-08,8.385806195726115e-08
30.0,6.551285568595509e-08,0.0,0.0,0.293760161768351,1.0049407048106404e-07,9.969011791721553e-08,1.0129802304491256e-07
30.0,7.196856730011521e-08,0.0,0.0,0.3250447316846089,1.212755046844382e-07,1.2030530064696267e-07,1.222457087219137e-07
30.0,7.906043210907697e-08,0.0,0.0,0.35462193061797337,1.466405143759289e-07,1.4546739026092149e-07,1.4781363849093634e-07
30.0,8.685113737513526e-08,0.0,0.0,0.3859418565190807,1.7765935379834224e-07,1.7641573832175384e-07,1.7890296927493063e-07
30.0,9.540954763499939e-08,0.0,0.0,0.433264931993446,2.135596898513835e-07,2.1185121233257244e-07,2.1526816737019457e-07
30.0,1.0481131341546853e-07,0.0,0.0,0.4740038401956396,2.5975357051922544e-07,2.5793529552559085e-07,2.6131209194234074e-07
30.0,1.151395399326447e-07,0.0,0.0,0.5210872478102143,3.1377783800949316e-07,3.118951709814362e-07,3.1566050503755007e-07
30.0,1.264855216855296e-07,0.0,0.0,0.5707213707025824,3.7903859102216575e-07,3.7676435947603276e-07,3.8131282256829874e-07
30.0,1.3894954943731376e-07,0.0,0.0,0.6311721218246166,4.5651966003150724e-07,4.533240224112867e-07,4.592587779916963e-07
30.0,1.5264179671752336e-07,0.0,0.0,0.6944973692961349,5.569605921550692e-07,5.54732749786449e-07,5.586314739315344e-07
30.0,1.6768329368110066e-07,0.0,0.0,0.7631782394494367,6.694687376129107e-07,6.661213939248461e-07,6.721466125633623e-07
30.0,1.8420699693267165e-07,0.0,0.0,0.849692547164133,8.103216171690339e-07,8.070803307003577e-07,8.12752582020541e-07
30.0,2.0235896477251556e-07,0.0,0.0,0.9283902061439943,9.77890164150548e-07,9.739786034939457e-07,9.808238346429995e-07
30.0,2.2229964825261958e-07,0.0,0.0,1.0221513867413188,1.1801106534504694e-06,1.1753902108366674e-06,1.1836509854108209e-06
30.0,2.44205309454865e-07,0.0,0.0,1.114282085371165,1.4269886300924355e-06,1.4227076642021584e-06,1.4298426073526204e-06
30.0,2.6826957952797243e-07,0.0,0.0,1.2039884100630815,1.7169439514938002e-06,1.7100761756878249e-06,1.7238117272997753e-06
30.0,2.94705170255181e-07,0.0,0.0,1.333306841189808,2.069937732873134e-06,2.059588044208768e-06,2.0782174838046265e-06
30.0,3.2374575428176437e-07,0.0,0.0,1.4933266907615288,2.5129585634078367e-06,2.507932646281021e-06,2.5154715219712446e-06
30.0,3.5564803062231287e-07,0.0,0.0,1.626843618692623,3.0235582873034954e-06,3.0114640541542817e-06,3.0326289621654063e-06
30.0,3.9069399370546133e-07,0.0,0.0,1.804648416175649,3.6524457838689454e-06,3.641488446517339e-06,3.659750675436683e-06
30.0,4.2919342601287785e-07,0.0,0.0,1.9389284160067455,4.412143639105908e-06,4.3989072081885904e-06,4.42096792638412e-06
30.0,4.71486636345739e-07,0.0,0.0,2.1261045772838254,5.313935814803644e-06,5.292680071544429e-06,5.329877622248055e-06
30.0,5.179474679231214e-07,0.0,0.0,2.367301466463315,6.400069491721023e-06,6.3744692137541386e-06,6.425669769687907e-06
30.0,5.689866029018294e-07,0.0,0.0,2.5588107736334784,7.746658128377208e-06,7.723418153992078e-06,7.762151444633963e-06
30.0,6.25055192527397e-07,0.0,0.0,2.8671111181667244,9.329968685628188e-06,9.274063513263904e-06,9.367316550276758e-06
30.0,6.866488450042998e-07,0.0,0.0,3.211539336710491,1.1315679272297733e-05,1.1315679272297733e-05,1.1315679272297733e-05
30.0,7.543120063354616e-07,0.0,0.0,3.45301516600848,1.364203643321069e-05,1.361475236034427e-05,1.3655678469643901e-05
30.0,8.286427728546843e-07,0.0,0.0,3.810854876915776,1.644667892225869e-05,1.6397338885491916e-05,1.647957228010321e-05
30.0,9.102981779915219e-07,0.0,0.0,4.148090469097295,1.9847731086339743e-05,1.9788187893080724e-05,1.9887426548512424e-05
30.0,1.0000000000000002e-06,0.0,0.0,4.5508116932402185,2.3952095808383244e-05,2.3880239520958092e-05,2.400000000000001e-05
30.2,1e-08,0.0,0.0,0.04086781726415655,2.014062340965705e-09,1.9462683936774723e-09,2.074979107970717e-09
30.2,1.0985411419875584e-08,0.0,0.0,0.04565940385502508,2.4393979413529407e-09,2.3691279612229043e-09,2.5056498744820715e-09
30.2,1.206792640639329e-08,0.0,0.0,0.050140293091920286,2.9339973651135832e-09,2.840905618954945e-09,3.0197035328108644e-09
30.2,1.325711365590109e-08,0.0,0.0,0.05674457425785247,3.6195291205159486e-09,3.5259027607555624e-09,3.706788728553347e-09
30.2,1.4563484775012439e-08,0.0,0.0,0.06062450289524602,4.48381090707965e-09,4.372391546477848e-09,4.587432386940544e-09
30.2,1.5998587196060583e-08,0.0,0.0,0.06824322093561856,5.436063897668278e-09,5.290326519960878e-09,5.5672915238822575e-09
30.2,1.7575106248547923e-08,0.0,0.0,0.07523663412285728,6.607671557617099e-09,6.449938706561055e-09,6.746988127628877e-09
30.2,1.9306977288832496e-08,0.0,0.0,0.08381053321361993,8.143611285253891e-09,7.97339254493616e-09,8.298853313647195e-09
30.2,2.1209508879201907e-08,0.0,0.0,0.09241197744997486,9.696325972509128e-09,9.493362477252567e-09,9.881021589633483e-09
30.2,2.329951810515372e-08,0.0,0.0,0.10241949240905991,1.2081263403142023e-08,1.1864477212636042e-08,1.22872731066924e-08
30.2,2.559547922699536e-08,0.0,0.0,0.11127336386137442,1.4515913007130255e-08,1.4269752154355342e-08,1.474857406080854e-08
30.2,2.811768697974231e-08,0.0,0.0,0.12467594114576637,1.7582758073619228e-08,1.728458966220679e-08,1.7864574520023197e-08
30.2,3.0888435964774816e-08,0.0,0.0,0.13747788439807915,2.1539939751773534e-08,2.121740069393048e-08,2.1820217447823612e-08
30.2,3.393221771895328e-08,0.0,0.0,0.1495582320528465,2.6215145359314397e-08,2.5822861924157618e-08,2.655651898218339e-08
30.2,3.7275937203149396e-08,0.0,0.0,0.16563497758868312,3.1666345581866995e-08,3.1192490386579944e-08,3.207870473403407e-08
30.2,4.094915062380423e-08,0.0,0.0,0.1853327635922605,3.899384772538819e-08,3.852697438657211e-08,3.942348193962651e-08
30.2,4.4984326689694446e-08,0.0,0.0,0.20054933575530717,4.7011845896377716e-08,4.644897306546039e-08,4.7529822414464006e-08
30.2,4.941713361323834e-08,0.0,0.0,0.21758643928317856,5.640931113490629e-08,5.584521802355722e-08,5.6973404246255354e-08
30.2,5.42867543932386e-08,0.0,0.0,0.24211078423319196,6.826698716806569e-08,6.738156434449588e-08,6.901915283268343e-08
30.2,5.963623316594644e-08,0.0,0.0,0.26850175084965605,8.270884433077045e-08,8.196446473179351e-08,8.345322392974738e-08
30.2,6.551285568595509e-08,0.0,0.0,0.29152850566410005,1.0069053982706808e-07,9.988501550845154e-08,1.0149606414568463e-07
30.2,7.196856730011521e-08,0.0,0.0,0.3184794136382888,1.2044589684858356e-07,1.1900379812561546e-07,1.2177296974006124e-07
30.2,7.906043210907697e-08,0.0,0.0,0.35557657049592745,1.4592344968232865e-07,1.443209183579173e-07,1.4723792811706706e-07
30.2,8.685113737513526e-08,0.0,0.0,0.38862138247216793,1.7609506281833092e-07,1.7398667663120704e-07,1.778588309675193e-07
30.2,9.540954763499939e-08,0.0,0.0,0.4250578699797199,2.1376425994961485e-07,2.1163003757827791e-07,2.154758703790314e-07
30.2,1.0481131341546853e-07,0.0,0.0,0.4692427215940421,2.584802687029547e-07,2.5641242655333107e-07,2.602896305838754e-07
30.2,1.151395399326447e-07,0.0,0.0,0.5167992646227692,3.1253969996731495e-07,3.097312182234086e-07,3.147293531052859e-07
